epoch,global_step,lr,train_loss,val_loss,dev_bleu,dev_chrf_pp,empty_pct,avg_len,unique_ratio,best_val_loss,best_dev_chrf,no_improve,elapsed_s
1,1485,0.0007337472383359444,28.434739602878928,9.458910093410596,0.028951496243271774,5.59726738477588,0.0,84.285,0.0022542563920033222,9.458910093410596,-1.0,0,518.6600441932678
2,2970,0.0008109364001682532,7.49168329537582,6.677540048374124,0.1265950611002597,10.472477152080216,0.0,89.665,0.011375676127809067,6.677540048374124,-1.0,0,532.139942407608
3,4455,0.0006621267980872169,6.52093394587637,5.998961446518939,0.8304725776680336,17.052130857086826,0.0,28.405,0.0660095053687731,5.998961446518939,-1.0,0,454.1759305000305
4,5940,0.0005734186276699795,5.933851593632208,5.406208039286997,2.423915636967102,23.41327323989657,0.0,31.865,0.12474501804487682,5.406208039286997,-1.0,0,471.63234424591064
5,7425,0.0005128812124138864,5.43796132080877,5.062027895138565,4.524101989259207,27.428342077962363,0.0,30.885,0.17921321029626033,5.062027895138565,27.428342077962363,0,459.1401472091675
6,8910,0.000468194348932807,5.09847266168466,4.707046917681548,6.388120517750498,31.511593492841723,0.0,26.77,0.230668658946582,4.707046917681548,31.511593492841723,0,452.860214471817
7,10395,0.0004334637388419162,5.023018633304571,4.867479791420149,6.209976656564307,28.906160850926057,0.0,24.185,0.21935083729584454,4.707046917681548,31.511593492841723,1,446.6966712474823
8,11880,0.0004054682000841266,5.64516585298974,5.730990941037112,1.2974767267889527,17.74240364744307,0.0,40.335,0.0669393826701376,4.707046917681548,31.511593492841723,2,458.0216603279114
9,13365,0.0003822790851133197,6.2391065247806905,6.1175298425156575,0.41707127925912924,11.995051250124753,0.0,61.55,0.021039805036555646,4.707046917681548,31.511593492841723,3,490.6471872329712
10,14850,0.00036266178324103715,6.513912065786639,6.511372624979338,0.11018334857450401,9.630497036358438,0.0,62.395,0.007773058738680984,4.707046917681548,31.511593492841723,4,488.7611813545227
11,16335,0.000345784442869423,7.119800986187102,8.9701810774287,0.02188660527848009,4.065635857790497,0.0,85.465,0.00017551044287135084,4.707046917681548,31.511593492841723,5,556.1183307170868
