epoch,global_step,lr,train_loss,val_loss,dev_bleu,dev_chrf_pp,empty_pct,avg_len,unique_ratio,best_val_loss,best_dev_chrf,no_improve,elapsed_s
1,1485,0.0007337472383359444,28.498817599220388,9.546701264638678,0.031101307258975117,3.4516184347466123,0.0,12.275,0.011405295315682282,9.546701264638678,-1.0,0,444.47635555267334
2,2970,0.0008109364001682532,7.566962602267633,6.787731467752451,0.06067327645107146,11.089915340890474,0.0,61.81,0.008655557353179097,6.787731467752451,-1.0,0,510.6535048484802
3,4455,0.0006621267980872169,6.649962073602739,6.268091207267843,0.2108812056340892,12.19584491242338,0.0,44.15,0.025707814269535674,6.268091207267843,-1.0,0,498.9691581726074
4,5940,0.0005734186276699795,6.201602047998779,5.800194532733021,1.189232814066158,16.857444277113352,0.0,38.695,0.07145626049877245,5.800194532733021,-1.0,0,498.64819622039795
5,7425,0.0005128812124138864,5.932652511718786,5.845855030224571,1.2894463046412308,17.922592069919897,0.0,40.26,0.07625434674615003,5.800194532733021,17.922592069919897,0,509.9230341911316
6,8910,0.000468194348932807,6.389595114870883,6.510639583259948,0.11206116869566442,9.960504797713545,0.0,57.905,0.009239271220101892,5.800194532733021,17.922592069919897,1,496.84379386901855
7,10395,0.0004334637388419162,6.879178758552181,6.950836602532917,0.1008047722759829,8.658230843041197,0.0,25.275,0.006330365974282888,5.800194532733021,17.922592069919897,2,457.936865568161
8,11880,0.0004054682000841266,7.790455733299472,9.623572881222225,0.060527855093458524,9.074352851361924,0.0,27.375,0.0007305936073059361,5.800194532733021,17.922592069919897,3,455.17119884490967
9,13365,0.0003822790851133197,13.11251054542528,16.123074394554084,0.0023503034896375213,0.02522645172859498,0.0,128.0,3.90625e-05,5.800194532733021,17.922592069919897,4,575.2662823200226
10,14850,0.00036266178324103715,13.2655249834099,15.432512608878568,0.01582398470129955,6.571613910144385,0.0,123.08,0.00024374390640233994,5.800194532733021,17.922592069919897,5,568.4286150932312
11,16335,0.000345784442869423,15.300854263636397,13.961052616967585,0.07876803617367119,9.562719648147903,0.0,30.68,0.0048891786179921775,5.800194532733021,17.922592069919897,6,450.8365182876587
12,17820,0.00033106339904360847,14.280064761617858,13.000880698349485,0.041346104957242724,7.764979268918381,0.0,74.53,0.0023480477660002682,5.800194532733021,17.922592069919897,7,497.65057921409607
13,19305,0.00031807542528773924,12.676688887461657,12.838621340423716,0.047820914007422534,8.29293876623026,0.0,53.49,0.004019442886520845,5.800194532733021,17.922592069919897,8,479.77404832839966
