model,dataset,model_size,eval_set,beam_size,length_penalty,bleu,chrf_pp,n_examples,bleu_signature,chrf_signature
student_beam_M10_optA_fixed_v2_best_chrf,beam_M10,A,dev,5,0.6,14.140974108225143,40.30683557595068,997,nrefs:1|case:mixed|eff:no|tok:flores200|smooth:exp|version:2.6.0,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0
student_beam_M10_optA_fixed_v2_best_chrf,beam_M10,A,devtest,5,0.6,13.453176109359214,39.810569154919136,1012,nrefs:1|case:mixed|eff:no|tok:flores200|smooth:exp|version:2.6.0,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0
