epoch,global_step,lr,train_loss,val_loss,dev_bleu,dev_chrf_pp,empty_pct,avg_len,unique_ratio,best_val_loss,best_dev_chrf,no_improve,elapsed_s
1,1485,0.0007337472383359444,28.430727743157885,9.369874061189988,0.16524691190598506,6.676489035148826,0.0,32.77,0.007628928898382667,9.369874061189988,-1.0,0,450.0473847389221
2,2970,0.0008109364001682532,7.466584704002788,6.619252711775677,0.24222352892059626,11.03328282328231,0.0,38.32,0.02244258872651357,6.619252711775677,-1.0,0,456.1019797325134
3,4455,0.0006621267980872169,6.48352026539875,5.982481607603951,0.4054350743846408,14.403606750034692,0.0,51.485,0.03622414295425852,5.982481607603951,-1.0,0,490.1162223815918
4,5940,0.0005734186276699795,5.900430626794761,5.380147562486053,1.349017624305746,18.787593855530336,0.0,44.94,0.08244325767690254,5.380147562486053,-1.0,0,487.1053857803345
5,7425,0.0005128812124138864,5.397339566011614,4.908848610569548,3.8142255396397426,26.44811461220804,0.0,30.34,0.17106130520764667,4.908848610569548,26.44811461220804,0,453.7591619491577
6,8910,0.000468194348932807,5.045786851193507,4.58244012256795,6.001580990320093,30.673680131548785,0.0,25.925,0.2445515911282546,4.58244012256795,30.673680131548785,0,446.01266145706177
7,10395,0.0004334637388419162,4.806462926989142,4.4047881133891895,6.058021710974601,31.804409161686948,0.0,29.015,0.22988109598483544,4.4047881133891895,31.804409161686948,0,451.65398263931274
8,11880,0.0004054682000841266,4.627053336469153,4.232653665868054,8.051453419262728,33.3577097915375,0.0,26.705,0.26830181613929976,4.232653665868054,33.3577097915375,0,443.84457302093506
9,13365,0.0003822790851133197,4.481187434397744,4.055367473531641,9.590397804941079,33.12107342690067,0.0,23.72,0.2837268128161889,4.055367473531641,33.3577097915375,1,445.71628522872925
10,14850,0.00036266178324103715,4.363748379685992,3.956248139775671,9.518250162500419,35.162760807814905,0.0,26.2,0.28454198473282444,3.956248139775671,35.162760807814905,0,438.53642082214355
11,16335,0.000345784442869423,4.266737240460241,3.8685879735644635,10.83905046571835,35.84721732871257,0.0,25.595,0.2824770462981051,3.8685879735644635,35.84721732871257,0,435.9835205078125
12,17820,0.00033106339904360847,4.191371916791,3.8192390705199686,10.572025203197361,37.49750002467015,0.0,26.275,0.2983824928639391,3.8192390705199686,37.49750002467015,0,438.66498732566833
13,19305,0.00031807542528773924,4.13544437588754,3.743012208691674,11.178799907870893,36.8106412674448,0.0,25.08,0.29545454545454547,3.743012208691674,37.49750002467015,1,436.5371391773224
14,20790,0.0003065051491335936,4.08541137653362,3.7157376010434766,12.213629959770811,37.52738715716304,0.0,23.405,0.3191625720999786,3.7157376010434766,37.52738715716304,0,443.3820445537567
15,22275,0.00029611210604945894,4.04612975524318,3.670051316185742,12.421971566559815,38.273785555801624,0.0,23.895,0.3314500941619586,3.670051316185742,38.273785555801624,0,443.29976177215576
16,23760,0.00028670931383498974,4.010417763329706,3.6550571148257847,10.989546319369243,36.982772913126475,0.0,25.21,0.29968266560888535,3.6550571148257847,38.273785555801624,1,447.82395195961
17,25245,0.00027814889053882956,3.981916361593796,3.6233149665074906,11.961737562265938,38.04792005051844,0.0,24.49,0.31175990200081666,3.6233149665074906,38.273785555801624,2,447.96065640449524
18,26730,0.0002703121333894177,3.9556316263796307,3.604081071667793,12.5550949789151,38.389187938541646,0.0,24.06,0.3264754779717373,3.604081071667793,38.389187938541646,0,444.77514910697937
19,28215,0.00026310251056391756,3.9347819504312653,3.5855230091356494,13.910724942506658,38.90492853523828,0.0,22.185,0.35429344151453684,3.5855230091356494,38.90492853523828,0,441.14418721199036
20,29700,0.0002564406062069432,3.914006778473804,3.573836189220756,11.388545224808036,37.36181611336837,0.0,25.14,0.2973349244232299,3.573836189220756,38.90492853523828,1,445.9066958427429
21,31185,0.0002502604063043219,3.89816908494466,3.551406261098708,13.301856113590832,39.25208384169762,0.0,23.095,0.3448798441221044,3.551406261098708,39.25208384169762,0,441.38197588920593
22,32670,0.0002445065243817814,3.8815449307189853,3.548104964837974,13.74402186350589,39.654020177595854,0.0,23.01,0.34702303346371144,3.548104964837974,39.654020177595854,0,442.3528130054474
